threads,mode,ops_per_sec,time_ms,total_ops
1,padded,276413675,180.9,50000000
1,packed,282283439,177.1,50000000
1,true_share,282386123,177.1,50000000
2,padded,247430510,404.2,100000000
2,packed,243321343,411.0,100000000
2,true_share,253060359,395.2,100000000
4,padded,494093356,404.8,200000000
4,packed,143770330,1391.1,200000000
4,true_share,139145877,1437.3,200000000
8,padded,988388310,202.3,200000000
8,packed,107994344,1851.9,200000000
8,true_share,107246925,1864.9,200000000
16,padded,1980744254,101.0,200000000
16,packed,169310527,1181.3,200000000
16,true_share,85727184,2333.0,200000000
20,padded,2466666760,81.1,200000000
20,packed,214521962,932.3,200000000
20,true_share,81207564,2462.8,200000000
